Unnamed: 0	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI	freqs	log_freq	expected_surp_loess	adjusted_surp	adjusted_prob
0	0	The	1	False	distilbert/distilgpt2	1.0	0.0	0	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	6500900	15.687451340644257	1.2647238956703484	-1.2647238956703484	3.542114607903115
1	1	 rock	1	False	distilbert/distilgpt2	1.2828171520595788e-06	19.57225227355957	1	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	15608	9.655602949958412	7.63221609104165	11.94003618251792	6.523913170623636e-06
2	2	 was	1	False	distilbert/distilgpt2	0.0031788705382496	8.297269821166992	2	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	680189	13.430127449888799	3.8088728971062973	4.4883969240606945	0.011238645779110656
3	3	 too	1	False	distilbert/distilgpt2	0.002154474845156	8.858448028564453	3	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	82076	11.315413110029038	6.521432155124416	2.337015873440037	0.09661552142049834
4	4	 hard	1	False	distilbert/distilgpt2	0.0164795164018869	5.923182010650635	4	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	37982	10.544893970188363	7.488719289371149	-1.5655372787205142	4.785245255792724
5	5	 to	1	False	distilbert/distilgpt2	0.439361423254013	1.1865198612213137	5	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	3042375	14.928149347056001	2.4423291055092387	-1.255809244287925	3.510678221420017
6	6	 break	1	False	distilbert/distilgpt2	0.0229875091463327	5.443006038665772	6	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	13589	9.51708950714519	7.4714721995981215	-2.028466160932349	7.6024165277677005
7	7	 with	1	False	distilbert/distilgpt2	0.0134952431544661	6.211405277252197	7	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	881608	13.689503926040112	3.9072819175830875	2.3041233596691097	0.09984629158506933
8	8	 a	1	False	distilbert/distilgpt2	0.0160345658659935	5.962670803070068	8	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	2959949	14.900682934265681	2.4850815175765972	3.477589285493471	0.0308817684967339
9	9	 hammer.	1	False	distilbert/distilgpt2	0.1120388885028659	4.993915438652039	9	1	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4	1700	7.438971592395862	8.966347629691167	-3.972432191039129	53.113556184335735
10	0	The	2	False	distilbert/distilgpt2	1.0	0.0	0	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	6500900	15.687451340644257	1.2647238956703484	-1.2647238956703484	3.542114607903115
11	1	 rock	2	False	distilbert/distilgpt2	1.2828171520595788e-06	19.57225227355957	1	1	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4	15608	9.655602949958412	7.63221609104165	11.94003618251792	6.523913170623636e-06
